number,audio,voice,target,competitorVoice,hasCompetitor,upperLeft,upperRight,lowerLeft,lowerRight,correctAnswerLocation,block
0,pen_girls.wav,girls,Pen,mens,practice,Distractors/allenwrench.jpg,pen_girls.jpg,Distractors/bagel.jpg,Distractors/ball.jpg,upperRight,3
1,bike_mens.wav,mens,Bike,girls,competitor,bike_girls.jpg,Distractors/stone.jpg,bike_mens.jpg,Distractors/accordion.jpg,lowerLeft,2
2,boot_mens.wav,mens,Boot,girls,competitor,Distractors/potato.jpg,Distractors/trumpet.jpg,boot_girls.jpg,boot_mens.jpg,lowerRight,2
3,pajamas_mens.wav,mens,Pajamas,girls,competitor,pajamas_girls.jpg,pajamas_mens.jpg,Distractors/apple.jpg,Distractors/cricket.jpg,upperRight,2
4,scissors_mens.wav,mens,Scissors,girls,competitor,Distractors/snail.jpg,scissors_mens.jpg,Distractors/tree.jpg,scissors_girls.jpg,upperRight,2
5,shirt_mens.wav,mens,Shirt,girls,competitor,shirt_mens.jpg,shirt_girls.jpg,Distractors/frenchhorn.jpg,Distractors/mushroom.jpg,upperLeft,2
6,socks_mens.wav,mens,Socks,girls,competitor,socks_mens.jpg,Distractors/babycarriage.jpg,socks_girls.jpg,Distractors/mouse.jpg,upperLeft,2
7,clock_mens.wav,mens,Clock,girls,no_competitor,Distractors/bee.jpg,Distractors/celery.jpg,clock_mens.jpg,Distractors/drum.jpg,lowerLeft,2
8,glasses_mens.wav,mens,Glasses,girls,no_competitor,Distractors/giraffe.jpg,glasses_mens.jpg,Distractors/kettle.jpg,Distractors/pot.jpg,upperRight,2
9,gloves_mens.wav,mens,Gloves,girls,no_competitor,Distractors/ant.jpg,Distractors/board.jpg,Distractors/crutch.jpg,gloves_mens.jpg,lowerRight,2
10,hat_mens.wav,mens,Hat,girls,no_competitor,hat_mens.jpg,Distractors/eggplant.jpg,Distractors/door.jpg,Distractors/fork.jpg,upperLeft,2
11,swimsuit_mens.wav,mens,Swimsuit,girls,no_competitor,Distractors/jar.jpg,Distractors/frog.jpg,swimsuit_mens.jpg,Distractors/hay.jpg,lowerLeft,2
12,watch_mens.wav,mens,Watch,girls,no_competitor,Distractors/banana.jpg,Distractors/cow.jpg,Distractors/violin.jpg,watch_mens.jpg,lowerRight,2
1,belt_girls.wav,girls,Belt,mens,competitor,belt_mens.jpg,Distractors/sheep.jpg,belt_girls.jpg,Distractors/flag.jpg,lowerLeft,1
2,car_girls.wav,girls,Car,mens,competitor,car_mens.jpg,car_girls.jpg,Distractors/earthworm.jpg,Distractors/dice.jpg,upperRight,1
3,chair_girls.wav,girls,Chair,mens,competitor,Distractors/brannockdevice.jpg,Distractors/anchor.jpg,chair_girls.jpg,chair_mens.jpg,lowerLeft,1
4,coat_girls.wav,girls,Coat,mens,competitor,Distractors/birdbath.jpg,Distractors/pail.jpg,coat_mens.jpg,coat_girls.jpg,lowerRight,1
5,desk_girls.wav,girls,Desk,mens,competitor,desk_girls.jpg,desk_mens.jpg,Distractors/bikepump.jpg,Distractors/cookie.jpg,upperLeft,1
6,ring_girls.wav,girls,Ring,mens,competitor,Distractors/barbell.jpg,ring_girls.jpg,Distractors/garbagecan.jpg,ring_mens.jpg,upperRight,1
7,lamp_girls.wav,girls,Lamp,mens,no_competitor,Distractors/cymbals.jpg,Distractors/axe.jpg,Distractors/ambulance.jpg,lamp_girls.jpg,lowerRight,1
8,mug_girls.wav,girls,Mug,mens,no_competitor,mug_girls.jpg,Distractors/ball.jpg,Distractors/nut.jpg,Distractors/dart.jpg,upperLeft,1
9,sofa_girls.wav,girls,Sofa,mens,no_competitor,Distractors/beans.jpg,sofa_girls.jpg,Distractors/raccoon.jpg,Distractors/barn.jpg,upperRight,1
10,pants_girls.wav,girls,Pants,mens,no_competitor,Distractors/mixer.jpg,Distractors/badger.jpg,pants_girls.jpg,Distractors/flashdrive.jpg,lowerLeft,1
11,swimsuit_girls.wav,girls,Swimsuit,mens,no_competitor,Distractors/sponge.jpg,Distractors/sousaphone.jpg,Distractors/cot.jpg,swimsuit_girls.jpg,lowerRight,1
12,sweater_girls.wav,girls,Sweater,mens,no_competitor,Distractors/acorn.jpg,sweater_girls.jpg,Distractors/stoplight.jpg,Distractors/arrows.jpg,upperRight,1
