number,audio,voice,target,competitorVoice,hasCompetitor,upperLeft,upperRight,lowerLeft,lowerRight,correctAnswerLocation,block
0,pen_girls.wav,girls,Pen,mens,practice,Distractors/allenwrench.jpg,pen_girls.jpg,Distractors/bagel.jpg,Distractors/ball.jpg,upperRight,3
1,bike_girls.wav,girls,Bike,mens,competitor,bike_mens.jpg,Distractors/stone.jpg,bike_girls.jpg,Distractors/accordion.jpg,lowerLeft,1
2,boot_girls.wav,girls,Boot,mens,competitor,Distractors/potato.jpg,Distractors/trumpet.jpg,boot_mens.jpg,boot_girls.jpg,lowerRight,1
3,pajamas_girls.wav,girls,Pajamas,mens,competitor,pajamas_mens.jpg,pajamas_girls.jpg,Distractors/apple.jpg,Distractors/cricket.jpg,upperRight,1
4,scissors_girls.wav,girls,Scissors,mens,competitor,Distractors/snail.jpg,scissors_girls.jpg,Distractors/tree.jpg,scissors_mens.jpg,upperRight,1
5,shirt_girls.wav,girls,Shirt,mens,competitor,shirt_girls.jpg,shirt_mens.jpg,Distractors/frenchhorn.jpg,Distractors/mushroom.jpg,upperLeft,1
6,socks_girls.wav,girls,Socks,mens,competitor,socks_girls.jpg,Distractors/babycarriage.jpg,socks_mens.jpg,Distractors/mouse.jpg,upperLeft,1
7,clock_girls.wav,girls,Clock,mens,no_competitor,Distractors/bee.jpg,Distractors/celery.jpg,clock_girls.jpg,Distractors/drum.jpg,lowerLeft,1
8,glasses_girls.wav,girls,Glasses,mens,no_competitor,Distractors/giraffe.jpg,glasses_girls.jpg,Distractors/kettle.jpg,Distractors/pot.jpg,upperRight,1
9,gloves_girls.wav,girls,Gloves,mens,no_competitor,Distractors/ant.jpg,Distractors/board.jpg,Distractors/crutch.jpg,gloves_girls.jpg,lowerRight,1
10,hat_girls.wav,girls,Hat,mens,no_competitor,hat_girls.jpg,Distractors/eggplant.jpg,Distractors/door.jpg,Distractors/fork.jpg,upperLeft,1
11,swimsuit_girls.wav,girls,Swimsuit,mens,no_competitor,Distractors/jar.jpg,Distractors/frog.jpg,swimsuit_girls.jpg,Distractors/hay.jpg,lowerLeft,1
12,watch_girls.wav,girls,Watch,mens,no_competitor,Distractors/banana.jpg,Distractors/cow.jpg,Distractors/violin.jpg,watch_girls.jpg,lowerRight,1
1,belt_mens.wav,mens,Belt,girls,competitor,belt_girls.jpg,Distractors/sheep.jpg,belt_mens.jpg,Distractors/flag.jpg,lowerLeft,2
2,car_mens.wav,mens,Car,girls,competitor,car_girls.jpg,car_mens.jpg,Distractors/earthworm.jpg,Distractors/dice.jpg,upperRight,2
3,chair_mens.wav,mens,Chair,girls,competitor,Distractors/brannockdevice.jpg,Distractors/anchor.jpg,chair_mens.jpg,chair_girls.jpg,lowerLeft,2
4,coat_mens.wav,mens,Coat,girls,competitor,Distractors/birdbath.jpg,Distractors/pail.jpg,coat_girls.jpg,coat_mens.jpg,lowerRight,2
5,desk_mens.wav,mens,Desk,girls,competitor,desk_mens.jpg,desk_girls.jpg,Distractors/bikepump.jpg,Distractors/cookie.jpg,upperLeft,2
6,ring_mens.wav,mens,Ring,girls,competitor,Distractors/barbell.jpg,ring_mens.jpg,Distractors/garbagecan.jpg,ring_girls.jpg,upperRight,2
7,lamp_mens.wav,mens,Lamp,girls,no_competitor,Distractors/cymbals.jpg,Distractors/axe.jpg,Distractors/ambulance.jpg,lamp_mens.jpg,lowerRight,2
8,mug_mens.wav,mens,Mug,girls,no_competitor,mug_mens.jpg,Distractors/ball.jpg,Distractors/nut.jpg,Distractors/dart.jpg,upperLeft,2
9,sofa_mens.wav,mens,Sofa,girls,no_competitor,Distractors/beans.jpg,sofa_mens.jpg,Distractors/raccoon.jpg,Distractors/barn.jpg,upperRight,2
10,pants_mens.wav,mens,Pants,girls,no_competitor,Distractors/mixer.jpg,Distractors/badger.jpg,pants_mens.jpg,Distractors/flashdrive.jpg,lowerLeft,2
11,swimsuit_mens.wav,mens,Swimsuit,girls,no_competitor,Distractors/sponge.jpg,Distractors/sousaphone.jpg,Distractors/cot.jpg,swimsuit_mens.jpg,lowerRight,2
12,sweater_mens.wav,mens,Sweater,girls,no_competitor,Distractors/acorn.jpg,sweater_mens.jpg,Distractors/stoplight.jpg,Distractors/arrows.jpg,upperRight,2
