number,audio,voice,target,competitorVoice,hasCompetitor,upperLeft,upperRight,lowerLeft,lowerRight,correctAnswerLocation,block
0,pen_mens.wav,mens,Pen,girls,practice,Distractors/allenwrench.jpg,pen_mens.jpg,Distractors/bagel.jpg,Distractors/ball.jpg,upperRight,3
1,bike_girls.wav,girls,Bike,mens,no_competitor,Distractors/lemon.jpg,Distractors/stone.jpg,bike_girls.jpg,Distractors/accordion.jpg,lowerLeft,2
2,boot_girls.wav,girls,Boot,mens,no_competitor,Distractors/potato.jpg,Distractors/zebra.jpg,Distractors/trumpet.jpg,boot_girls.jpg,lowerRight,2
3,pajamas_girls.wav,girls,Pajamas,mens,no_competitor,pajamas_girls.jpg,Distractors/spoon.jpg,Distractors/mouse.jpg,Distractors/peanut.jpg,upperLeft,2
4,scissors_girls.wav,girls,Scissors,mens,no_competitor,Distractors/accordion.jpg,scissors_girls.jpg,Distractors/apple.jpg,Distractors/cricket.jpg,upperRight,2
5,shirt_girls.wav,girls,Shirt,mens,no_competitor,Distractors/blueberry.jpg,shirt_girls.jpg,Distractors/snail.jpg,Distractors/tree.jpg,upperRight,2
6,socks_girls.wav,girls,Socks,mens,no_competitor,Distractors/mushroom.jpg,Distractors/hay.jpg,socks_girls.jpg,Distractors/frog.jpg,lowerLeft,2
7,clock_girls.wav,girls,Clock,mens,competitor,Distractors/celery.jpg,Distractors/drum.jpg,clock_girls.jpg,clock_mens.jpg,lowerLeft,2
8,glasses_girls.wav,girls,Glasses,mens,competitor,Distractors/kettle.jpg,glasses_girls.jpg,Distractors/giraffe.jpg,glasses_mens.jpg,upperRight,2
9,gloves_girls.wav,girls,Gloves,mens,competitor,Distractors/board.jpg,gloves_mens.jpg,Distractors/arrows.jpg,gloves_girls.jpg,lowerRight,2
10,hat_girls.wav,girls,Hat,mens,competitor,hat_girls.jpg,Distractors/frenchhorn.jpg,hat_mens.jpg,Distractors/rope.jpg,upperLeft,2
11,swimsuit_girls.wav,girls,Swimsuit,mens,competitor,swimsuit_girls.jpg,Distractors/door.jpg,swimsuit_mens.jpg,Distractors/eggplant.jpg,upperLeft,2
12,watch_girls.wav,girls,Watch,mens,competitor,Distractors/cow.jpg,Distractors/violin.jpg,watch_mens.jpg,watch_girls.jpg,lowerRight,2
1,belt_mens.wav,mens,Belt,girls,no_competitor,Distractors/cymbals.jpg,Distractors/sheep.jpg,belt_mens.jpg,Distractors/flag.jpg,lowerLeft,1
2,car_mens.wav,mens,Car,girls,no_competitor,Distractors/ball.jpg,car_mens.jpg,Distractors/earthworm.jpg,Distractors/dice.jpg,upperRight,1
3,chair_mens.wav,mens,Chair,girls,no_competitor,Distractors/brannockdevice.jpg,Distractors/anchor.jpg,chair_mens.jpg,Distractors/barn.jpg,lowerLeft,1
4,coat_mens.wav,mens,Coat,girls,no_competitor,Distractors/birdbath.jpg,Distractors/pail.jpg,Distractors/flashdrive.jpg,coat_mens.jpg,lowerRight,1
5,desk_mens.wav,mens,Desk,girls,no_competitor,desk_mens.jpg,Distractors/sousaphone.jpg,Distractors/bikepump.jpg,Distractors/cookie.jpg,upperLeft,1
6,ring_mens.wav,mens,Ring,girls,no_competitor,Distractors/barbell.jpg,ring_mens.jpg,Distractors/garbagecan.jpg,Distractors/arrows.jpg,upperRight,1
7,lamp_mens.wav,mens,Lamp,girls,competitor,Distractors/axe.jpg,lamp_girls.jpg,Distractors/ambulance.jpg,lamp_mens.jpg,lowerRight,1
8,mug_mens.wav,mens,Mug,girls,competitor,mug_mens.jpg,mug_girls.jpg,Distractors/nut.jpg,Distractors/dart.jpg,upperLeft,1
9,sofa_mens.wav,mens,Sofa,girls,competitor,Distractors/beans.jpg,sofa_mens.jpg,Distractors/raccoon.jpg,sofa_girls.jpg,upperRight,1
10,pants_mens.wav,mens,Pants,girls,competitor,Distractors/mixer.jpg,Distractors/badger.jpg,pants_mens.jpg,pants_girls.jpg,lowerLeft,1
11,swimsuit_mens.wav,mens,Swimsuit,girls,competitor,Distractors/sponge.jpg,swimsuit_girls.jpg,Distractors/cot.jpg,swimsuit_mens.jpg,lowerRight,1
12,sweater_mens.wav,mens,Sweater,girls,competitor,Distractors/acorn.jpg,sweater_mens.jpg,Distractors/stoplight.jpg,sweater_girls.jpg,upperRight,1
