subjectID,list_number,tar_name,voice_type,comp_type,has_comp,upper_left,upper_right,lower_left,lower_right,clicked,correct,AudioPlayedTime,TapTime,RT,
Test Weisshaus,5,Boot,mens,womens,competitor,Distractors/potato.jpg,Distractors/trumpet.jpg,boot_womens.jpg,boot_mens.jpg,upperRight,lowerRight,6.996938775510204,6.193922902494331,-0.8030158730158723,
Test Weisshaus,5,Bike,mens,womens,competitor,bike_womens.jpg,Distractors/stone.jpg,bike_mens.jpg,Distractors/accordion.jpg,upperLeft,lowerLeft,7.467142857142857,11.23265306122449,3.7655102040816324,
Test Weisshaus,5,Watch,mens,womens,no_competitor,Distractors/banana.jpg,Distractors/cow.jpg,Distractors/violin.jpg,watch_mens.jpg,lowerRight,lowerRight,12.494263038548754,14.448616780045352,1.9543537414965986,
Test Weisshaus,5,Clock,mens,womens,no_competitor,Distractors/bee.jpg,Distractors/celery.jpg,clock_mens.jpg,Distractors/drum.jpg,lowerLeft,lowerLeft,15.710226757369615,17.96643990929705,2.2562131519274367,
Test Weisshaus,5,Gloves,mens,womens,no_competitor,Distractors/ant.jpg,Distractors/board.jpg,Distractors/crutch.jpg,gloves_mens.jpg,lowerRight,lowerRight,19.228049886621314,21.04888888888889,1.8208390022675758,
Test Weisshaus,5,Shirt,mens,womens,competitor,shirt_mens.jpg,shirt_womens.jpg,Distractors/frenchhorn.jpg,Distractors/mushroom.jpg,upperLeft,upperLeft,22.310498866213152,24.11972789115646,1.8092290249433098,
Test Weisshaus,5,Glasses,mens,womens,no_competitor,Distractors/giraffe.jpg,glasses_mens.jpg,Distractors/kettle.jpg,Distractors/pot.jpg,upperRight,upperRight,25.381337868480724,26.848072562358276,1.4667346938775516,
Test Weisshaus,5,Socks,mens,womens,competitor,socks_mens.jpg,Distractors/babycarriage.jpg,socks_womens.jpg,Distractors/mouse.jpg,lowerLeft,upperLeft,28.115487528344673,30.400725623582765,2.2852380952380926,
Test Weisshaus,5,Hat,mens,womens,no_competitor,hat_mens.jpg,Distractors/eggplant.jpg,Distractors/door.jpg,Distractors/fork.jpg,upperLeft,upperLeft,31.662335600907028,34.28426303854875,2.621927437641723,
Test Weisshaus,5,Scissors,mens,womens,competitor,Distractors/snail.jpg,scissors_mens.jpg,Distractors/tree.jpg,scissors_womens.jpg,upperRight,upperRight,35.54587301587301,37.36671201814059,1.8208390022675758,
