number,audio,voice,target,competitorVoice,hasCompetitor,upperLeft,upperRight,lowerLeft,lowerRight,correctAnswerLocation,block
0,pen_womens.wav,womens,Pen,mens,practice,Distractors/allenwrench.jpg,pen_womens.jpg,Distractors/bagel.jpg,Distractors/ball.jpg,upperRight,3
1,bike_womens.wav,womens,Bike,mens,competitor,bike_mens.jpg,Distractors/stone.jpg,bike_womens.jpg,Distractors/accordion.jpg,lowerLeft,1
2,boot_womens.wav,womens,Boot,mens,competitor,Distractors/potato.jpg,Distractors/trumpet.jpg,boot_mens.jpg,boot_womens.jpg,lowerRight,1
3,pajamas_womens.wav,womens,Pajamas,mens,competitor,pajamas_mens.jpg,pajamas_womens.jpg,Distractors/apple.jpg,Distractors/cricket.jpg,upperRight,1
4,scissors_womens.wav,womens,Scissors,mens,competitor,Distractors/snail.jpg,scissors_womens.jpg,Distractors/tree.jpg,scissors_mens.jpg,upperRight,1
5,shirt_womens.wav,womens,Shirt,mens,competitor,shirt_womens.jpg,shirt_mens.jpg,Distractors/frenchhorn.jpg,Distractors/mushroom.jpg,upperLeft,1
6,socks_womens.wav,womens,Socks,mens,competitor,socks_womens.jpg,Distractors/babycarriage.jpg,socks_mens.jpg,Distractors/mouse.jpg,upperLeft,1
7,clock_womens.wav,womens,Clock,mens,no_competitor,Distractors/bee.jpg,Distractors/celery.jpg,clock_womens.jpg,Distractors/drum.jpg,lowerLeft,1
8,glasses_womens.wav,womens,Glasses,mens,no_competitor,Distractors/giraffe.jpg,glasses_womens.jpg,Distractors/kettle.jpg,Distractors/pot.jpg,upperRight,1
9,gloves_womens.wav,womens,Gloves,mens,no_competitor,Distractors/ant.jpg,Distractors/board.jpg,Distractors/crutch.jpg,gloves_womens.jpg,lowerRight,1
10,hat_womens.wav,womens,Hat,mens,no_competitor,hat_womens.jpg,Distractors/eggplant.jpg,Distractors/door.jpg,Distractors/fork.jpg,upperLeft,1
11,swimsuit_womens.wav,womens,Swimsuit,mens,no_competitor,Distractors/jar.jpg,Distractors/frog.jpg,swimsuit_womens.jpg,Distractors/hay.jpg,lowerLeft,1
12,watch_womens.wav,womens,Watch,mens,no_competitor,Distractors/banana.jpg,Distractors/cow.jpg,Distractors/violin.jpg,watch_womens.jpg,lowerRight,1
1,belt_mens.wav,mens,Belt,womens,competitor,belt_womens.jpg,Distractors/sheep.jpg,belt_mens.jpg,Distractors/flag.jpg,lowerLeft,2
2,car_mens.wav,mens,Car,womens,competitor,car_womens.jpg,car_mens.jpg,Distractors/earthworm.jpg,Distractors/dice.jpg,upperRight,2
3,chair_mens.wav,mens,Chair,womens,competitor,Distractors/brannockdevice.jpg,Distractors/anchor.jpg,chair_mens.jpg,chair_womens.jpg,lowerLeft,2
4,coat_mens.wav,mens,Coat,womens,competitor,Distractors/birdbath.jpg,Distractors/pail.jpg,coat_womens.jpg,coat_mens.jpg,lowerRight,2
5,desk_mens.wav,mens,Desk,womens,competitor,desk_mens.jpg,desk_womens.jpg,Distractors/bikepump.jpg,Distractors/cookie.jpg,upperLeft,2
6,ring_mens.wav,mens,Ring,womens,competitor,Distractors/barbell.jpg,ring_mens.jpg,Distractors/garbagecan.jpg,ring_womens.jpg,upperRight,2
7,lamp_mens.wav,mens,Lamp,womens,no_competitor,Distractors/cymbals.jpg,Distractors/axe.jpg,Distractors/ambulance.jpg,lamp_mens.jpg,lowerRight,2
8,mug_mens.wav,mens,Mug,womens,no_competitor,mug_mens.jpg,Distractors/ball.jpg,Distractors/nut.jpg,Distractors/dart.jpg,upperLeft,2
9,sofa_mens.wav,mens,Sofa,womens,no_competitor,Distractors/beans.jpg,sofa_mens.jpg,Distractors/raccoon.jpg,Distractors/barn.jpg,upperRight,2
10,pants_mens.wav,mens,Pants,womens,no_competitor,Distractors/mixer.jpg,Distractors/badger.jpg,pants_mens.jpg,Distractors/flashdrive.jpg,lowerLeft,2
11,swimsuit_mens.wav,mens,Swimsuit,womens,no_competitor,Distractors/sponge.jpg,Distractors/sousaphone.jpg,Distractors/cot.jpg,swimsuit_mens.jpg,lowerRight,2
12,sweater_mens.wav,mens,Sweater,womens,no_competitor,Distractors/acorn.jpg,sweater_mens.jpg,Distractors/stoplight.jpg,Distractors/arrows.jpg,upperRight,2
